sample_id,target_snr_db,metadata_measured_snr_db,waveform_input_snr_db,waveform_output_snr_db,waveform_snr_improvement_db,input_si_snr_db,output_si_snr_db,si_snr_improvement_db,input_stoi,output_stoi,stoi_improvement,stoi_skip_reason,input_pesq,output_pesq,pesq_improvement,pesq_skip_reason,noise_category,max_amplitude_enhanced,rms_enhanced,rms_ratio_enhanced_over_clean,clipped_for_wav,clipping_pct
S0402,5.0,5.0,4.856409844338118,16.56343218351021,11.707022339172092,4.873281955718994,16.49883460998535,11.625552654266357,0.9198239733236885,0.9032785922069556,-0.01654538111673287,,1.5504059791564941,2.004990339279175,0.45458436012268066,,drone,0.29362112283706665,0.031186554580926895,1.0009978199494283,False,0.0
S0416,5.0,5.0,2.9388433010204142,5.382118058374065,2.4432747573536506,2.9746832847595215,3.9066312313079834,0.9319479465484619,0.8934766430248692,0.84343232803279,-0.050044314992079175,,1.3377130031585693,1.1963779926300049,-0.14133501052856445,,siren,0.06803902983665466,0.01337650790810585,0.8222148489284957,False,0.0
S0418,5.0,5.0,3.794060062511686,10.334330315463138,6.540270252951451,3.7865588665008545,9.923859596252441,6.137300729751587,0.6786771658531152,0.72089280812099,0.042215642267874776,,1.2666447162628174,1.237743616104126,-0.028901100158691406,,siren,0.04786190390586853,0.005675581283867359,0.9660524399779256,False,0.0
S0424,5.0,5.0,5.600380669450113,12.582944921744563,6.98256425229445,5.623917579650879,12.387075424194336,6.763157844543457,0.7489607325240161,0.7710598669663464,0.02209913444233036,,1.240899682044983,1.2920998334884644,0.051200151443481445,,siren,0.38631564378738403,0.08216340094804764,0.9969105836457731,False,0.0
S0426,5.0,5.0,5.445724046163272,12.827497337277418,7.381773291114146,5.433989524841309,12.638121604919434,7.204132080078125,0.6276859995101901,0.7062791007139125,0.07859310120372243,,1.258253574371338,1.5587255954742432,0.3004720211029053,,siren,0.3633934557437897,0.04588331654667854,0.9959355457311267,False,0.0
S0444,5.0,5.0,4.804967057695934,6.218049452204156,1.4130823945082218,3.3646395206451416,5.852492332458496,2.4878528118133545,0.7626022988023703,0.7949193238103928,0.03231702500802247,,1.1257816553115845,1.4135299921035767,0.2877483367919922,,gunshot,0.8505030274391174,0.13875256478786469,0.710325229830135,False,0.0
S0459,5.0,5.0,9.370433355813578,17.62903311695115,8.258599761137571,9.359031677246094,17.62209701538086,8.263065338134766,0.9389910972665944,0.960071488691162,0.021080391424567635,,1.6043803691864014,2.154513120651245,0.5501327514648438,,helicopter,0.4416142702102661,0.08322987705469131,1.0075491380679684,False,0.0
S0481,5.0,5.0,4.161616468622983,5.45810269031872,1.2964862216957371,4.040322780609131,4.989775657653809,0.9494528770446777,0.7664616358327123,0.7068157827693418,-0.05964585306337056,,1.1660513877868652,1.168165683746338,0.0021142959594726562,,wind,0.6574469804763794,0.10173338651657104,1.0808585141130558,False,0.0
S0486,5.0,5.0,7.394127774591573,11.289574870326721,3.8954470957351477,6.521687984466553,14.331056594848633,7.80936861038208,0.9538100050148245,0.9092423221356025,-0.04456768287922197,,1.3550750017166138,1.6352276802062988,0.28015267848968506,,wind,0.8402325510978699,0.16442011296749115,0.7852506026845509,False,0.0
S0515,10.0,10.0,13.247854824921369,15.00858389447031,1.7607290695489404,13.247444152832031,14.871679306030273,1.6242351531982422,0.8653002485268653,0.8857467929367911,0.020446544409925882,,1.3880579471588135,1.5370800495147705,0.14902210235595703,,armored_vehicle,0.15077610313892365,0.031113415956497192,0.988161504407268,False,0.0
S0523,10.0,10.0,11.335549313338023,12.579402729880076,1.2438534165420538,11.291775703430176,12.35673713684082,1.0649614334106445,0.9280979491692798,0.9018928684393227,-0.026205080729957086,,2.002808094024658,1.4594396352767944,-0.5433684587478638,,armored_vehicle,0.4102274179458618,0.06869776546955109,0.9886858990335164,False,0.0
S0525,10.0,10.0,12.753958868162592,10.87739596989721,-1.876562898265382,12.742315292358398,10.602453231811523,-2.139862060546875,0.8834131175209321,0.7719031116446641,-0.11151000587626803,,1.3863017559051514,1.2459716796875,-0.14033007621765137,,armored_vehicle,0.029980242252349854,0.004510063212364912,0.9188919921696492,False,0.0
S0529,10.0,10.0,9.63073579342483,14.384864596137437,4.754128802712607,9.155487060546875,17.114917755126953,7.959430694580078,0.9734564513379772,0.9731908706437769,-0.00026558069420035135,,1.999516248703003,2.282881259918213,0.28336501121520996,,artillery,0.8744150996208191,0.1392318606376648,0.8586421171172031,False,0.0
S0532,10.0,10.0,8.654218497008209,10.437361422884994,1.7831429258767848,8.018272399902344,10.601025581359863,2.5827531814575195,0.9119419445716177,0.8975166879190064,-0.014425256652611296,,1.793318748474121,1.8556543588638306,0.06233561038970947,,artillery,0.8820107579231262,0.11630328744649887,0.857533751250728,False,0.0
S0533,10.0,10.0,9.301021831807256,12.98590287357759,3.6848810417703337,9.397467613220215,12.92670726776123,3.5292396545410156,0.9614164397840201,0.9445518502339041,-0.01686458955011605,,1.708876371383667,1.7918946743011475,0.08301830291748047,,artillery,0.5943896770477295,0.07515528053045273,1.0176536252968857,False,0.0
S0535,10.0,10.0,19.275037044492393,21.00075217399789,1.7257151295054953,19.22732162475586,21.010570526123047,1.7832489013671875,0.9087654401791552,0.8984293670344455,-0.010336073144709634,,2.0936264991760254,1.9799431562423706,-0.11368334293365479,,artillery,0.9669541716575623,0.14696912467479706,0.9871687186468149,False,0.0
S0562,10.0,10.0,11.335481253765007,13.863688930331064,2.5282076765660566,11.340362548828125,13.814140319824219,2.4737777709960938,0.9555484631599878,0.9577338832834223,0.0021854201234345894,,2.3134167194366455,2.441185712814331,0.12776899337768555,,drone,0.5637684464454651,0.09352269023656845,1.0142807633158146,False,0.0
S0565,10.0,10.0,12.960236489507185,17.00520465752009,4.044968168012904,13.23666763305664,17.00604248046875,3.7693748474121094,0.9376397338167969,0.7316145394352063,-0.20602519438159062,,2.244194269180298,1.4092559814453125,-0.8349382877349854,,drone,0.18809643387794495,0.023962905630469322,1.0098245469841542,False,0.0
